ip,requests
8.42.77.171,7
80.211.246.121,2
37.49.231.178,2
138.68.3.71,1
184.105.139.67,1
92.63.194.33,2
185.244.25.167,1
1.169.38.217,1
5.101.40.81,1
5.141.67.237,1
5.188.206.22,1
31.163.158.140,1
31.192.108.68,1
37.49.231.125,1
43.227.231.129,1
45.62.211.169,1
46.100.43.82,1
58.218.213.6,1
58.48.32.199,1
59.47.71.13,1
61.176.222.167,1
61.219.11.151,1
66.240.236.119,1
71.6.232.4,1
71.6.199.23,1
78.128.112.98,1
80.211.172.233,1
80.82.77.33,1
82.202.209.155,1
88.202.190.148,1
88.214.26.54,1
89.248.168.51,1
91.245.36.26,1
92.53.76.213,1
185.244.25.145,1
